NAME,TYPE,SLOT,CLASS,RACE,MATERIAL,SIZE,WEIGHT,VALUE,RENT,ML,ABILITIES,FLAGS,SPELL_NAME,SPELL_LVL,SPELL_REMAIN_CHG,SPELL_MAX_CHG,AP_APPLY,CUSTOM,BINDING,SOCKET_REMAIN,SOCKET_DICE1,SOCKET_DICE2,SOCKET_AC,SOCKET_PROF,ENCHANT_RENT_ADD,ENCHANT_AC_ADD,ENCHANT_DICE1_ADD,ENCHANT_DICE2_ADD,ENCHANT_SOCKETS_USED,DAM_TYPE,DAM_DICE,DAM_AVG,REQ_WEAP_SKILL,AFFECT,PROF_MOD,CAST,MOB,ZONE,ORIG_RAW
"an adamantine breast plate",ARMOR,BODY,NONE,NONE,adamantite,large,12,20000,4280,10,NONE,UNIQUE UNBREAKABLE GOOD_FLAGGED,,,,,18,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-30ARMOR_POINTS,,,"Adamantite Guard","Raddok","Object 'an adamantine breast plate', Item type: ARMOR
Can be worn on: TAKE BODY
Class restrictions: NONE
Race restrictions: NONE
Object Material: adamantite
Size: large
Weight: 12, Value: 20000, Rent: 4280, Min Level: 10
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE GOOD_FLAGGED
AP-apply is 18
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   ARMOR_POINTS By -30"
"a banded ring",ARMOR,FINGER,NONE,NONE,ivory,large,2,50000,2500,25,DETECT_INVIS,UNIQUE UNBREAKABLE,,,,,1,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,10AGE 30MAXMANA,,,"Amyrok","Mahn-Tor","Object 'a banded ring', Item type: ARMOR
Can be worn on: TAKE FINGER
Class restrictions: NONE
Race restrictions: NONE
Object Material: ivory
Size: large
Weight: 2, Value: 50000, Rent: 2500, Min Level: 25
Item will give you following abilities:  DETECT_INVIS
Item is: UNIQUE UNBREAKABLE
AP-apply is 1
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   AGE By 10
   MAXMANA By 30"
"a battle-scarred wide leather belt",ARMOR,WAIST,NONE,NONE,leather,special,3,55000,6250,15,NONE,UNIQUE UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 1HITROLL 30MAXHIT,,,"Muri, Honu elder","Darkrime","Object 'a battle-scarred wide leather belt', Item type: ARMOR
Can be worn on: TAKE WAIST
Class restrictions: NONE
Race restrictions: NONE
Object Material: leather
Size: special
Weight: 3, Value: 55000, Rent: 6250, Min Level: 15
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXHIT By 30
   HITROLL By 1
   DAMROLL By 1"
"white furred boots",WORN,FEET,DRUID WARRIOR ROGUE,NONE,leather,normal,5,32000,3200,10,AIRWALK SENSE_LIFE SNEAK,ANTI_EVIL UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2HITROLL 15MAXHIT,,,"Kano, son of Goro","Darkrime","Object 'white furred boots', Item type: WORN
Can be worn on: TAKE FEET
Class restrictions: DRUID WARRIOR ROGUE
Race restrictions: NONE
Object Material: leather
Size: normal
Weight: 5, Value: 32000, Rent: 3200, Min Level: 10
Item will give you following abilities:  AIRWALK SENSE_LIFE SNEAK
Item is: ANTI_EVIL UNIQUE UNBREAKABLE
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By 2
   MAXHIT By 15"
"a hooded travelling cloak",WORN,NECK HEAD ABOUT,WARRIOR PRIEST ROGUE,NONE,wool,normal,8,65000,6500,20,CLOAK_OF_SHADOWS,ANTI_EVIL UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DEX,,,"Kano, son of Goro","Darkrime","Object 'a hooded travelling cloak', Item type: WORN
Can be worn on: TAKE NECK HEAD ABOUT
Class restrictions: WARRIOR PRIEST ROGUE
Race restrictions: NONE
Object Material: wool
Size: normal
Weight: 8, Value: 65000, Rent: 6500, Min Level: 20
Item will give you following abilities:  CLOAK_OF_SHADOWS
Item is: ANTI_EVIL UNIQUE UNBREAKABLE
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 2"
"the Cloak of the Bat",ARMOR,ABOUT,THIEF FIGHTER PALADIN ANTIPALADIN BARD MONK SAMURAI RANGER,NONE,leather,normal,20,60000,15000,20,AIRWALK BAT_SONAR HIDE INVISIBILITY,ANTI_GOOD UNIQUE UNBREAKABLE,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DEX,+40spook,,"Will Scarlet","Nottingham","Object 'the Cloak of the Bat', Item type: ARMOR
Can be worn on: TAKE ABOUT
Class restrictions: THIEF FIGHTER PALADIN ANTIPALADIN BARD MONK SAMURAI RANGER
Race restrictions: NONE
Object Material: leather
Size: normal
Weight: 20, Value: 60000, Rent: 15000, Min Level: 20
Item will give you following abilities:  AIRWALK BAT_SONAR HIDE INVISIBILITY
Item is: ANTI_GOOD UNIQUE UNBREAKABLE
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 2
Modifies the following proficiencies:
   +40 to spook"
"a deep red sash",ARMOR,WAIST,NONE,NONE,cotton,special,4,74300,6800,20,FREE_ACTION,ANTI_GOOD UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,5MANA_GAIN 15MAXMANA,,,"A phantasmal buccaneer","Burning Talon","Object 'a deep red sash', Item type: ARMOR
Can be worn on: TAKE WAIST
Class restrictions: NONE
Race restrictions: NONE
Object Material: cotton
Size: special
Weight: 4, Value: 74300, Rent: 6800, Min Level: 20
Item will give you following abilities:  FREE_ACTION
Item is: ANTI_GOOD UNBREAKABLE
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MANA_GAIN By 5
   MAXMANA By 15"
"Captain Fensclow's Coat",ARMOR,BODY,THIEF FIGHTER ANTIPALADIN BARD RANGER,NONE,wool,special,10,96000,9000,25,PROTECTION_GOOD,ANTI_GOOD UNBREAKABLE,,,,,12,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-2CHA 2DAMROLL 5FIRE_DMG 5MELEE_CRIT_DMG -7SAVING_SPELL,,,"Captain Fensclow","Burning Talon","Object 'Captain Fensclow's Coat', Item type: ARMOR
Can be worn on: TAKE BODY
Class restrictions: THIEF FIGHTER ANTIPALADIN BARD RANGER
Race restrictions: NONE
Object Material: wool
Size: special
Weight: 10, Value: 96000, Rent: 9000, Min Level: 25
Item will give you following abilities:  PROTECTION_GOOD
Item is: ANTI_GOOD UNBREAKABLE
AP-apply is 12
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 2
   CHA By -2
   SAVING_SPELL By -7
   MELEE_CRIT_DMG By 5
   FIRE_DMG By 5"
"the Hard Leather Boots",WORN,FEET,FIGHTER PALADIN ANTIPALADIN SAMURAI RANGER,NONE,leather,normal,25,40000,2000,5,SNEAK,ANTI_EVIL UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 1HITROLL,,,"The mystical dwarf","Goblin Caves","Object 'the Hard Leather Boots', Item type: WORN
Can be worn on: TAKE FEET
Class restrictions: FIGHTER PALADIN ANTIPALADIN SAMURAI RANGER
Race restrictions: NONE
Object Material: leather
Size: normal
Weight: 25, Value: 40000, Rent: 2000, Min Level: 5
Item will give you following abilities:  SNEAK
Item is: ANTI_EVIL UNIQUE UNBREAKABLE
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   HITROLL By 1
   DAMROLL By 1"
"a winged helm",ARMOR,HEAD,NONE,NONE,steel,normal,5,12000,2000,5,NONE,UNBREAKABLE,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DEX 2HITROLL,,,"Mercury","Rome","Object 'a winged helm', Item type: ARMOR
Can be worn on: TAKE HEAD
Class restrictions: NONE
Race restrictions: NONE
Object Material: steel
Size: normal
Weight: 5, Value: 12000, Rent: 2000, Min Level: 5
Item will give you following abilities:  NONE
Item is: UNBREAKABLE
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 2
   HITROLL By 2"
"a red samurai helmet",ARMOR,HEAD,NONE,NONE,steel,normal,7,31000,3100,15,NONE,UNIQUE UNBREAKABLE,,,,,9,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 7HIT_GAIN 1INT,,,"A Samurai Warrior","Forbidden Empire","Object 'a red samurai helmet', Item type: ARMOR
Can be worn on: TAKE HEAD
Class restrictions: NONE
Race restrictions: NONE
Object Material: steel
Size: normal
Weight: 7, Value: 31000, Rent: 3100, Min Level: 15
Item will give you following abilities:  NONE
Item is: UNIQUE UNBREAKABLE
AP-apply is 9
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 1
   INT By 1
   HIT_GAIN By 7"
"the spear of Mars",WEAPON,WIELD,WARRIOR,NONE,ivory,special,20,140000,35000,20,NONE,GLOW MAGIC UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pierce,8D3,16.0,pierce attack,3DAMROLL 3HITROLL,,,"Mars","Rome","Object 'the spear of Mars', Item type: WEAPON
Can be worn on: TAKE WIELD
Class restrictions: WARRIOR
Race restrictions: NONE
Object Material: ivory
Size: special
Weight: 20, Value: 140000, Rent: 35000, Min Level: 20
Item will give you following abilities:  NONE
Item is: GLOW MAGIC UNBREAKABLE MAIN_HAND_WPN
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pierce,  Damage Dice: '8D3', Average Damage 16.0.
Requires Weapon Skill: pierce attack
Can affect you as:
   HITROLL By 3
   DAMROLL By 3"
"a red loincloth",ARMOR,WAIST,NONE,NONE,cotton,special,18,100000,16667,20,NONE,HUM ANTI_EVIL UNBREAKABLE,,,,,15,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DEX 10MAXMOVE 2STR,,,"Mars","Rome","Object 'a red loincloth', Item type: ARMOR
Can be worn on: TAKE WAIST
Class restrictions: NONE
Race restrictions: NONE
Object Material: cotton
Size: special
Weight: 18, Value: 100000, Rent: 16667, Min Level: 20
Item will give you following abilities:  NONE
Item is: HUM ANTI_EVIL UNBREAKABLE
AP-apply is 15
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   STR By 2
   DEX By 2
   MAXMOVE By 10"
"The Caduceus",STAFF,HOLD,NONE,NONE,wood,special,5,9000,2500,5,NONE,HUM UNBREAKABLE,sovereign heal,17,3,3,,,,,,,,,,,,,,,,,,3HEAL_BONUS,,,"Mercury","Rome","Object 'The Caduceus', Item type: STAFF
Can be worn on: TAKE HOLD
Class restrictions: NONE
Race restrictions: NONE
Object Material: wood
Size: special
Weight: 5, Value: 9000, Rent: 2500, Min Level: 5
Item will give you following abilities:  NONE
Item is: HUM UNBREAKABLE
Spell: sovereign heal at level 17, 3 (of 3) charges remaining
Can affect you as:
   HEAL_BONUS By 3"
"The Ancile",ARMOR,SHIELD,NONE,NONE,crystal,special,20,30000,8000,30,NONE,MAGIC UNBREAKABLE,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL 2DEX,,,"","","Object 'The Ancile', Item type: ARMOR
Can be worn on: TAKE SHIELD
Class restrictions: NONE
Race restrictions: NONE
Object Material: crystal
Size: special
Weight: 20, Value: 30000, Rent: 8000, Min Level: 30
Item will give you following abilities:  NONE
Item is: MAGIC UNBREAKABLE
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 2
   DAMROLL By 1"
"a crown made of bones",ARMOR,HEAD,NONE,NONE,bone,large,15,32000,1500,10,NONE,ANTI_GOOD ANTI_NEUTRAL UNIQUE UNBREAKABLE,,,,,6,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DAMROLL,,,"The Great Goblin","Goblin Caves","Object 'a crown made of bones', Item type: ARMOR
Can be worn on: TAKE HEAD
Class restrictions: NONE
Race restrictions: NONE
Object Material: bone
Size: large
Weight: 15, Value: 32000, Rent: 1500, Min Level: 10
Item will give you following abilities:  NONE
Item is: ANTI_GOOD ANTI_NEUTRAL UNIQUE UNBREAKABLE
AP-apply is 6
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 1"
"a bone staff",STAFF,HOLD,MAGIC_USER NECROMANCER WARLOCK,NONE,bone,special,13,20000,1150,5,NONE,UNBREAKABLE,life leech,16,3,3,,,,,,,,,,,,,,,,,,,,,"The Great Goblin","Goblin Caves","Object 'a bone staff', Item type: STAFF
Can be worn on: TAKE HOLD
Class restrictions: MAGIC_USER NECROMANCER WARLOCK
Race restrictions: NONE
Object Material: bone
Size: special
Weight: 13, Value: 20000, Rent: 1150, Min Level: 5
Item will give you following abilities:  NONE
Item is: UNBREAKABLE
Spell: life leech at level 16, 3 (of 3) charges remaining"
"a small band of gold",WORN,FINGER,PRIEST,NONE,gold,small,2,58200,14550,15,IMPROVED_INVIS INVISIBILITY,MAGIC ANTI_EVIL UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,5MANA_GAIN 18MAXMANA 3MOVE_GAIN -25RESIST_SLSH,,,"","","Object 'a small band of gold', Item type: WORN
Can be worn on: TAKE FINGER
Class restrictions: PRIEST
Race restrictions: NONE
Object Material: gold
Size: small
Weight: 2, Value: 58200, Rent: 14550, Min Level: 15
Item will give you following abilities:  IMPROVED_INVIS INVISIBILITY
Item is: MAGIC ANTI_EVIL UNIQUE UNBREAKABLE
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMANA By 18
   MANA_GAIN By 5
   MOVE_GAIN By 3
   RESIST_SLSH By -25"
"silver battle greaves",ARMOR,LEGS,NONE,NONE,silver,normal,6,10430,700,10,NONE,UNBREAKABLE,,,,,9,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2CON -1HITROLL,,,"in Iron box","Juris","Object 'silver battle greaves', Item type: ARMOR
Can be worn on: TAKE LEGS
Class restrictions: NONE
Race restrictions: NONE
Object Material: silver
Size: normal
Weight: 6, Value: 10430, Rent: 700, Min Level: 10
Item will give you following abilities:  NONE
Item is: UNBREAKABLE
AP-apply is 9
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   CON By 2
   HITROLL By -1"
"White mithril chainmail",ARMOR,BODY,NONE,NONE,mithril,normal,5,80000,20000,15,NONE,GLOW ANTI_EVIL UNBREAKABLE,,,,,12,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,3DIVN_DMG 20MAXMOVE,,,"Elrond","Imladris","Object 'White mithril chainmail', Item type: ARMOR
Can be worn on: TAKE BODY
Class restrictions: NONE
Race restrictions: NONE
Object Material: mithril
Size: normal
Weight: 5, Value: 80000, Rent: 20000, Min Level: 15
Item will give you following abilities:  NONE
Item is: GLOW ANTI_EVIL UNBREAKABLE
AP-apply is 12
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXMOVE By 20
   DIVN_DMG By 3"
"an elven bracelet",ARMOR,WRIST,PRIEST WIZARD,NONE,gold,special,3,7200,300,0,NONE,HUM UNBREAKABLE,,,,,4,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,5MAXMANA 1WIS,,,"The Halfling Beauty","Shire","Object 'an elven bracelet', Item type: ARMOR
Can be worn on: TAKE WRIST
Class restrictions: PRIEST WIZARD
Race restrictions: NONE
Object Material: gold
Size: special
Weight: 3, Value: 7200, Rent: 300, Min Level: 0
Item will give you following abilities:  NONE
Item is: HUM UNBREAKABLE
AP-apply is 4
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   WIS By 1
   MAXMANA By 5"
"The Shield of the Elements",ARMOR,SHIELD,WARRIOR,NONE,brass,special,12,36000,5500,20,NONE,HUM UNBREAKABLE,,,,,18,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-1HITROLL 25RESIST_COLD 25RESIST_ELEC 25RESIST_FIRE -1STR,,,"A Diamond Golem","College","Object 'The Shield of the Elements', Item type: ARMOR
Can be worn on: TAKE SHIELD
Class restrictions: WARRIOR
Race restrictions: NONE
Object Material: brass
Size: special
Weight: 12, Value: 36000, Rent: 5500, Min Level: 20
Item will give you following abilities:  NONE
Item is: HUM UNBREAKABLE
AP-apply is 18
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   RESIST_FIRE By 25
   RESIST_ELEC By 25
   RESIST_COLD By 25
   STR By -1
   HITROLL By -1"
"A glinting silver bracelet",ARMOR,WRIST,NONE,NONE,silver,special,5,25000,4500,15,NONE,MAGIC ANTI_GOOD ANTI_EVIL UNIQUE UNBREAKABLE NEUTRAL_FLAGGED,,,,,3,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL -50RESIST_ELEC,,,"The Master's apprentice","Shire","Object 'A glinting silver bracelet', Item type: ARMOR
Can be worn on: TAKE WRIST
Class restrictions: NONE
Race restrictions: NONE
Object Material: silver
Size: special
Weight: 5, Value: 25000, Rent: 4500, Min Level: 15
Item will give you following abilities:  NONE
Item is: MAGIC ANTI_GOOD ANTI_EVIL UNIQUE UNBREAKABLE NEUTRAL_FLAGGED
AP-apply is 3
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 2
   RESIST_ELEC By -50"
"an iron shod staff",WEAPON,WIELD,NONE,NONE,iron,special,7,9000,3000,10,NONE,ANTI_GOOD ANTI_EVIL UNBREAKABLE HOLDABLE_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,pound,4D6,14.0,bludgeon attack,1DAMROLL 3HITROLL,,,"The Master of Neutrality","College","Object 'an iron shod staff', Item type: WEAPON
Can be worn on: TAKE WIELD
Class restrictions: NONE
Race restrictions: NONE
Object Material: iron
Size: special
Weight: 7, Value: 9000, Rent: 3000, Min Level: 10
Item will give you following abilities:  NONE
Item is: ANTI_GOOD ANTI_EVIL UNBREAKABLE HOLDABLE_WPN
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: pound,  Damage Dice: '4D6', Average Damage 14.0.
Requires Weapon Skill: bludgeon attack
Can affect you as:
   HITROLL By 3
   DAMROLL By 1"
